company,title,location,job_url,site
Asana,"Business Development Representative, German Speaking","Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4344181043,linkedin
Groupon,Business Development Representative,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4356202430,linkedin
Tangent,Entry-level Sales Role at VC-backed startup (€30-50k base salary),"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366361635,linkedin
Tangent,Graduate Sales Role at Dublin Tech Company (€30-50k base salary + Hybrid),"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366375228,linkedin
Allianz,Business Development Executive - Retail,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366359997,linkedin
New Relic,Business Development Representative (Outbound),"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4335205010,linkedin
Okta,Sales Development Representative - German,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4351146358,linkedin
Salesforce,Graduate Program - Solution Engineering – French Market (August Start),"Dublin, D, IE",https://ie.indeed.com/viewjob?jk=0c68c61f5ec82c80,indeed
Access Healthcare,Business Development – Launch Your Sales Career,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4365529495,linkedin
Access Healthcare,Grow Faster | Backed by the Right Team,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4367108547,linkedin
Salesforce,Commercial Graduate Sales Path - Iberian Market,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4367189612,linkedin
Salesforce,Commercial Graduate Sales Path-Italian Market,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4367177630,linkedin
Salesforce,Graduate Program - Solution Engineering – French Market (August Start),"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4367186541,linkedin
Access Healthcare,Let Results Drive Your Career - Join Us!,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366701986,linkedin
Access Healthcare,From Early Sales to Account Management | Build the Next Version of You,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366603126,linkedin
Salesforce,Commercial Graduate Sales Path - Dutch Market,"Dublin, County Dublin, Ireland",https://www.linkedin.com/jobs/view/4366319882,linkedin
AVI-SPL,Audiovisual Design Engineer,"Farnborough, ENG, GB",https://uk.indeed.com/viewjob?jk=7f8dd2d8b6c40dc2,indeed
MetricStream,Sales Development Representative- UK,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=a1f7e558dd9688ea,indeed
Abatable,Sales Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=d928536a6dc0635e,indeed
SPHERE,Sales Development Rep/SDR (UK Fintech),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=2346fc607e820c7f,indeed
Howdens,Territory Sales Representative,"Kentish Town, ENG, GB",https://uk.indeed.com/viewjob?jk=200a56ea99690322,indeed
Pib Group,Customer Service Representative,"Croydon, ENG, GB",https://uk.indeed.com/viewjob?jk=b22df03168e4ed6c,indeed
Hiring Hub,Sales Development Representative - Bracknell,"Bracknell, ENG, GB",https://uk.indeed.com/viewjob?jk=09b590c72b848107,indeed
CHAMBERS & PARTNERS,Sales Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=766b3ae261a1a966,indeed
REST Renewable Energy Services Team,Solar PV Field Sales Representative,"Reading, ENG, GB",https://uk.indeed.com/viewjob?jk=679e200d95e9ff3f,indeed
REST Renewable Energy Services Team,Solar PV Field Sales Representative,"Cambridge, ENG, GB",https://uk.indeed.com/viewjob?jk=7e5e4e2e0704b83b,indeed
Flourish,Business Development Representative (HF1315832),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=79cb7e5d4c5c2ce2,indeed
Anaplan,Major Account Executive,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=b279c6bf4a242674,indeed
Flagright,Sales Development Representative (Fresh Grad) - London,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=2727f6c05ee61a01,indeed
Flagright,Sales Development Representative - London,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=2ddc10460c1f4ebd,indeed
Varonis Systems,Sales Development Representative (French Speaking),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=1b708c8c5c6cc8d5,indeed
Brizn Limited,Junior Sales Representative,"Erith, ENG, GB",https://uk.indeed.com/viewjob?jk=751d4ada4f17af87,indeed
OpenTable,Sales Development Representative - German Speaking,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=e9738973cca89605,indeed
Flywire,Business Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=afe84fd380a38ef1,indeed
Buffalo Machines Limited,Construction Machinery Sales Representative,"Ashford, ENG, GB",https://uk.indeed.com/viewjob?jk=fde1ad1b35e58b06,indeed
Longdan Supermaket,Sales Executive,"Leyton, ENG, GB",https://uk.indeed.com/viewjob?jk=f3b61eaf6dc475ef,indeed
Sigma Computing,Solution Engineer (EMEA),"London, ENG, GB",https://uk.indeed.com/viewjob?jk=427997a20a8231ed,indeed
STACKS,Business Development Representative - Mid Market & Enterprise,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=9cf0f5e18a8b1e58,indeed
1of1 marketing,Sales Representative,"Taplow, ENG, GB",https://uk.indeed.com/viewjob?jk=36a2814e7ea0eaf0,indeed
1of1 marketing,Sales Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=feb04e0f9fd7560c,indeed
Lumon Pay,Sales Development Representative,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=8843e611b77211a1,indeed
GAMMA,Sales Development Representative (SDR) - Cyber Security Channel Sales,"London, ENG, GB",https://uk.indeed.com/viewjob?jk=c574b1087d938117,indeed
Blackhawk Network,Inside Sales Representative,"Hemel Hempstead, ENG, GB",https://uk.indeed.com/viewjob?jk=af3af7a7aa24f1e6,indeed
